Input_n,Iterative_Power,Recursive_Power,DC_Power,Population_Iterative,Population_Recursive,Population_DC,Iterative_Time_sec,Recursive_Time_sec,DC_Time_sec
1,1.05000000,1.05000000,1.05000000,1050.0000,1050.0000,1050.0000,0.0000166000,0.0000017000,0.0000008000
2,1.10250000,1.10250000,1.10250000,1102.5000,1102.5000,1102.5000,0.0000010000,0.0000009000,0.0000011000
3,1.15762500,1.15762500,1.15762500,1157.6250,1157.6250,1157.6250,0.0000006000,0.0000005000,0.0000009000
4,1.21550625,1.21550625,1.21550625,1215.5063,1215.5063,1215.5062,0.0000005000,0.0000004000,0.0000007000
5,1.27628156,1.27628156,1.27628156,1276.2816,1276.2816,1276.2816,0.0000004000,0.0000005000,0.0000007000
6,1.34009564,1.34009564,1.34009564,1340.0956,1340.0956,1340.0956,0.0000004000,0.0000005000,0.0000006000
7,1.40710042,1.40710042,1.40710042,1407.1004,1407.1004,1407.1004,0.0000004000,0.0000006000,0.0000006000
8,1.47745544,1.47745544,1.47745544,1477.4554,1477.4554,1477.4554,0.0000004000,0.0000006000,0.0000007000
9,1.55132822,1.55132822,1.55132822,1551.3282,1551.3282,1551.3282,0.0000004000,0.0000007000,0.0000008000
10,1.62889463,1.62889463,1.62889463,1628.8946,1628.8946,1628.8946,0.0000005000,0.0000007000,0.0000007000
11,1.71033936,1.71033936,1.71033936,1710.3394,1710.3394,1710.3394,0.0000008000,0.0000009000,0.0000009000
12,1.79585633,1.79585633,1.79585633,1795.8563,1795.8563,1795.8563,0.0000006000,0.0000009000,0.0000007000
13,1.88564914,1.88564914,1.88564914,1885.6491,1885.6491,1885.6491,0.0000006000,0.0000009000,0.0000009000
14,1.97993160,1.97993160,1.97993160,1979.9316,1979.9316,1979.9316,0.0000006000,0.0000009000,0.0000008000
15,2.07892818,2.07892818,2.07892818,2078.9282,2078.9282,2078.9282,0.0000006000,0.0000011000,0.0000009000
16,2.18287459,2.18287459,2.18287459,2182.8746,2182.8746,2182.8746,0.0000005000,0.0000011000,0.0000007000
17,2.29201832,2.29201832,2.29201832,2292.0183,2292.0183,2292.0183,0.0000006000,0.0000012000,0.0000008000
18,2.40661923,2.40661923,2.40661923,2406.6192,2406.6192,2406.6192,0.0000007000,0.0000012000,0.0000008000
19,2.52695020,2.52695020,2.52695020,2526.9502,2526.9502,2526.9502,0.0000006000,0.0000013000,0.0000009000
20,2.65329771,2.65329771,2.65329771,2653.2977,2653.2977,2653.2977,0.0000006000,0.0000013000,0.0000008000
21,2.78596259,2.78596259,2.78596259,2785.9626,2785.9626,2785.9626,0.0000007000,0.0000014000,0.0000009000
22,2.92526072,2.92526072,2.92526072,2925.2607,2925.2607,2925.2607,0.0000007000,0.0000015000,0.0000009000
23,3.07152376,3.07152376,3.07152376,3071.5238,3071.5238,3071.5238,0.0000008000,0.0000015000,0.0000009000
24,3.22509994,3.22509994,3.22509994,3225.0999,3225.0999,3225.0999,0.0000008000,0.0000016000,0.0000008000
25,3.38635494,3.38635494,3.38635494,3386.3549,3386.3549,3386.3549,0.0000007000,0.0000016000,0.0000009000
26,3.55567269,3.55567269,3.55567269,3555.6727,3555.6727,3555.6727,0.0000009000,0.0000017000,0.0000009000
27,3.73345632,3.73345632,3.73345632,3733.4563,3733.4563,3733.4563,0.0000008000,0.0000017000,0.0000009000
28,3.92012914,3.92012914,3.92012914,3920.1291,3920.1291,3920.1291,0.0000009000,0.0000017000,0.0000011000
29,4.11613560,4.11613560,4.11613560,4116.1356,4116.1356,4116.1356,0.0000009000,0.0000017000,0.0000011000
30,4.32194238,4.32194238,4.32194238,4321.9424,4321.9424,4321.9424,0.0000008000,0.0000171000,0.0000009000
31,4.53803949,4.53803949,4.53803949,4538.0395,4538.0395,4538.0395,0.0000009000,0.0000020000,0.0000010000
32,4.76494147,4.76494147,4.76494147,4764.9415,4764.9415,4764.9415,0.0000010000,0.0000021000,0.0000008000
33,5.00318854,5.00318854,5.00318854,5003.1885,5003.1885,5003.1885,0.0000010000,0.0000021000,0.0000009000
34,5.25334797,5.25334797,5.25334797,5253.3480,5253.3480,5253.3480,0.0000010000,0.0000022000,0.0000009000
35,5.51601537,5.51601537,5.51601537,5516.0154,5516.0154,5516.0154,0.0000010000,0.0000022000,0.0000162000
36,5.79181614,5.79181614,5.79181614,5791.8161,5791.8161,5791.8161,0.0000011000,0.0000026000,0.0000010000
37,6.08140694,6.08140694,6.08140694,6081.4069,6081.4069,6081.4069,0.0000011000,0.0000159000,0.0000011000
38,6.38547729,6.38547729,6.38547729,6385.4773,6385.4773,6385.4773,0.0000012000,0.0000026000,0.0000147000
39,6.70475115,6.70475115,6.70475115,6704.7512,6704.7512,6704.7512,0.0000011000,0.0000024000,0.0000011000
40,7.03998871,7.03998871,7.03998871,7039.9887,7039.9887,7039.9887,0.0000012000,0.0000024000,0.0000009000
41,7.39198815,7.39198815,7.39198815,7391.9881,7391.9881,7391.9881,0.0000012000,0.0000026000,0.0000010000
42,7.76158756,7.76158756,7.76158756,7761.5876,7761.5876,7761.5876,0.0000011000,0.0000026000,0.0000010000
43,8.14966693,8.14966693,8.14966693,8149.6669,8149.6669,8149.6669,0.0000012000,0.0000027000,0.0000010000
44,8.55715028,8.55715028,8.55715028,8557.1503,8557.1503,8557.1503,0.0000012000,0.0000029000,0.0000010000
45,8.98500779,8.98500779,8.98500779,8985.0078,8985.0078,8985.0078,0.0000141000,0.0000027000,0.0000011000
46,9.43425818,9.43425818,9.43425818,9434.2582,9434.2582,9434.2582,0.0000012000,0.0000027000,0.0000011000
47,9.90597109,9.90597109,9.90597109,9905.9711,9905.9711,9905.9711,0.0000012000,0.0000028000,0.0000011000
48,10.40126965,10.40126965,10.40126965,10401.2696,10401.2696,10401.2696,0.0000013000,0.0000028000,0.0000010000
49,10.92133313,10.92133313,10.92133313,10921.3331,10921.3331,10921.3331,0.0000013000,0.0000029000,0.0000010000
50,11.46739979,11.46739979,11.46739979,11467.3998,11467.3998,11467.3998,0.0000013000,0.0000031000,0.0000009000
